bedrooms,square_footage,bathrooms,location,age_of_house,garage_size,lot_size,distance_to_school,house_price
4,3149.5,2.5,Urban,0.5,0,12505.8,6.69,721867.91
3,1789.7,2.0,Suburban,15.6,2,4385.5,0.91,391367.08
4,2713.9,3.0,Rural,49.5,2,2021.7,1.94,356913.9
2,1125.5,1.5,Suburban,36.3,3,10590.0,4.73,267363.59
3,2500.0,2.0,Downtown,35.9,2,5222.5,9.46,606756.14
1,1103.6,1.0,Downtown,38.1,2,9884.5,6.62,270314.8
2,1614.2,1.5,Downtown,31.0,1,2083.5,3.88,393683.05
4,1719.0,2.5,Suburban,29.3,1,14379.1,4.85,379088.84
6,3550.9,3.5,Downtown,22.7,1,8211.6,8.53,972709.44
2,1798.6,1.5,Urban,22.2,0,1133.4,5.65,349000.35
3,2122.6,2.0,Suburban,43.5,2,7665.1,0.95,390250.15
4,2925.4,3.5,Rural,19.7,3,12056.1,4.46,449088.06
2,1317.7,1.5,Suburban,42.0,1,13113.1,4.19,275457.76
3,1898.3,3.0,Suburban,41.9,2,7457.7,9.05,364942.73
4,3311.4,3.0,Suburban,38.5,0,2763.1,3.4,560505.05
3,2004.8,2.5,Rural,1.9,2,13686.4,1.11,324546.74
2,1532.1,1.5,Downtown,7.4,2,14736.4,3.87,491573.33
3,2166.0,3.0,Downtown,15.7,1,1884.7,0.92,576852.46
4,2222.1,3.0,Urban,42.4,2,2092.9,8.41,456985.99
3,2666.5,2.5,Urban,43.7,1,8918.3,6.11,583104.54
1,1054.4,1.0,Suburban,2.1,1,8474.6,4.96,203952.35
4,3716.6,3.0,Suburban,16.2,2,9241.2,3.92,678949.34
1,791.0,1.0,Suburban,42.5,1,5439.6,4.47,120111.09
4,3160.2,3.5,Downtown,12.5,2,1704.8,7.98,825303.24
2,1189.3,1.0,Rural,48.8,2,9124.9,2.21,150967.26
5,3421.0,3.5,Suburban,24.5,1,3120.2,1.18,646720.22
3,2255.5,2.0,Suburban,46.9,1,5777.6,5.84,379435.03
3,1634.3,1.5,Urban,21.4,1,9154.3,8.66,411649.22
2,1502.6,1.5,Downtown,16.2,1,3918.8,5.84,382874.14
3,2228.4,1.5,Downtown,18.1,2,8594.5,8.06,570142.18
4,2778.1,2.0,Suburban,44.2,0,11006.1,8.98,487615.77
6,4245.6,4.5,Urban,16.5,2,1920.9,1.23,984751.74
3,2446.5,2.0,Suburban,33.5,1,9672.6,6.1,439464.24
3,1918.1,2.0,Downtown,23.5,0,8132.1,8.41,468711.86
4,2917.9,3.0,Suburban,47.1,2,2364.2,6.61,533897.12
4,2777.3,2.5,Downtown,8.0,2,10888.8,6.12,768102.23
3,2181.2,3.0,Downtown,21.4,3,5352.5,7.99,620597.58
3,2032.7,2.0,Suburban,6.2,2,3552.2,7.22,414238.56
3,2308.9,3.0,Downtown,28.9,1,4954.4,5.27,597127.06
3,2049.9,1.5,Urban,20.1,3,8646.8,0.92,515817.68
1,904.0,1.0,Suburban,3.0,1,9120.8,6.33,211640.11
3,1981.2,2.5,Urban,42.5,2,3375.1,2.53,421062.38
3,2045.5,2.0,Suburban,18.8,1,14112.9,2.91,447748.82
4,2495.2,2.5,Rural,24.7,0,5605.2,6.96,346316.37
2,1306.7,1.0,Downtown,20.4,2,4756.1,4.8,313463.97
3,1413.4,2.5,Downtown,24.4,1,3614.1,7.31,390691.15
3,1794.1,2.5,Rural,0.8,1,2687.4,4.23,267829.12
3,2239.4,2.5,Urban,40.8,2,14749.1,8.77,530210.77
2,1286.4,1.5,Downtown,16.6,1,10446.1,4.56,369572.57
3,1927.8,2.0,Downtown,36.2,0,12018.4,5.19,497911.34
3,1898.6,2.0,Rural,3.2,1,6620.8,1.7,280426.24
3,2228.2,1.5,Downtown,26.2,2,6804.6,5.28,578709.62
3,1956.8,2.0,Rural,45.4,0,14816.5,2.78,287621.88
3,2731.3,3.0,Rural,19.9,2,3809.7,7.75,378954.56
4,3303.4,2.5,Downtown,9.9,0,5577.1,7.28,831798.21
3,2393.8,2.5,Urban,5.0,0,3732.3,0.65,552724.71
4,3391.5,3.5,Suburban,43.0,1,4956.7,5.19,617845.26
3,1881.5,2.5,Urban,11.9,2,10290.0,0.93,484958.81
2,902.6,1.5,Suburban,48.8,1,5324.8,5.91,128881.34
2,1455.3,1.5,Downtown,12.4,1,13257.3,9.07,404875.33
3,2637.3,2.0,Urban,24.0,2,1681.1,8.74,523567.99
4,2623.8,2.0,Downtown,22.9,2,5966.1,2.82,684844.44
4,1912.8,3.0,Rural,3.1,2,13049.9,1.83,363908.12
4,2428.2,3.0,Suburban,26.6,0,9699.3,8.02,439720.41
3,1940.1,2.0,Downtown,33.6,1,11793.4,5.69,521667.36
3,2054.4,2.0,Downtown,37.1,2,5531.0,4.53,537385.57
2,1811.5,1.5,Rural,26.1,2,6170.3,8.2,243631.07
3,1849.8,2.0,Suburban,40.6,0,13435.2,2.9,369541.88
3,2300.2,3.0,Rural,37.6,2,11494.1,2.63,336896.9
2,1455.0,2.0,Downtown,9.7,2,6379.6,6.31,417670.36
2,1554.1,2.0,Suburban,20.1,1,4015.0,3.09,289285.17
3,1805.8,2.0,Rural,7.1,1,2488.1,4.55,272231.89
4,2346.3,3.0,Downtown,6.7,2,13065.6,4.82,765991.43
6,3346.5,4.0,Suburban,35.6,3,10767.1,2.45,686811.25
5,3655.9,4.0,Rural,26.5,2,9502.8,1.09,538050.0
3,1799.3,2.0,Suburban,30.0,1,11872.2,7.78,338425.12
3,1986.9,2.0,Urban,36.6,0,13809.9,7.94,471799.5
3,1954.9,2.0,Urban,13.9,2,11662.2,6.18,485681.9
4,3475.2,3.0,Suburban,20.1,1,6889.2,1.91,640076.97
2,1788.4,2.5,Urban,30.3,1,3470.6,5.02,382180.89
3,2453.2,2.5,Suburban,4.8,2,10993.5,2.19,541287.17
4,3020.2,3.5,Urban,41.7,1,4454.1,8.87,633312.3
3,1577.7,2.5,Downtown,17.2,0,11956.6,7.12,468560.74
3,2323.6,2.5,Rural,32.9,2,5742.2,0.8,294211.77
3,2199.7,2.0,Urban,49.8,2,3194.8,0.52,476349.89
2,1546.7,1.0,Suburban,23.8,2,4565.1,9.85,262574.46
3,1831.2,2.0,Suburban,10.8,2,4732.9,0.88,393348.62
3,2356.9,2.5,Suburban,10.8,1,6303.2,8.73,456248.18
1,780.0,1.0,Urban,3.0,1,4602.1,9.58,184470.16
1,957.8,1.0,Rural,38.4,2,4157.8,3.43,113623.54
4,2219.1,2.0,Downtown,14.7,0,6484.5,5.63,592056.33
3,2234.8,2.5,Rural,8.6,2,13153.4,6.65,334654.13
3,2498.4,2.5,Downtown,35.7,2,1986.4,5.44,619053.27
3,2193.4,1.5,Suburban,15.5,1,5147.4,2.53,416992.13
5,3526.3,4.0,Suburban,30.0,2,8872.3,6.02,684217.55
3,2570.1,3.0,Suburban,20.9,1,13242.7,2.96,519415.33
3,1813.9,3.0,Suburban,16.7,1,4977.8,2.07,366755.6
4,2226.4,3.0,Urban,24.5,1,5882.4,5.3,523196.18
4,3234.7,3.5,Suburban,15.7,2,12171.3,4.03,635698.01
2,1509.4,2.0,Downtown,43.5,1,6215.2,0.76,376365.74
4,2706.7,3.0,Suburban,3.7,2,12921.8,9.52,596013.91
3,1943.3,3.0,Urban,1.5,2,7373.8,0.88,525379.55
3,2455.5,2.0,Rural,20.3,0,8967.4,9.08,338327.52
2,1564.7,1.5,Downtown,8.6,2,8852.3,2.3,465536.45
2,1133.0,1.5,Rural,37.2,1,2670.3,1.85,149525.71
4,2596.1,3.0,Suburban,17.7,1,5969.2,1.16,516186.46
3,1822.1,2.5,Downtown,13.1,2,4382.2,4.54,519859.4
3,2144.2,2.0,Rural,18.0,3,10562.3,6.08,338784.74
4,2201.1,3.0,Downtown,11.0,0,14071.1,9.09,638253.33
4,3309.9,3.5,Urban,15.0,2,3973.9,7.95,724256.25
2,1352.3,2.5,Urban,28.4,2,2277.6,2.02,325262.44
3,1881.0,1.5,Suburban,43.2,2,8092.3,2.09,366624.05
2,1347.9,2.5,Urban,18.5,0,6471.7,0.58,326397.58
4,2823.5,3.0,Suburban,16.0,2,1500.0,7.03,540581.86
3,1699.4,2.5,Downtown,39.1,0,13902.7,0.67,502116.93
5,3112.3,4.0,Urban,1.1,0,14162.1,1.82,821602.92
2,1426.7,2.0,Rural,15.1,2,12905.8,6.53,266695.77
2,1979.0,1.0,Suburban,22.6,2,4927.3,1.93,365211.98
3,2473.4,2.0,Rural,30.0,2,2714.0,1.96,332176.44
3,2398.6,2.0,Suburban,7.8,0,9294.9,2.72,440543.0
2,1490.8,1.5,Suburban,21.6,1,4941.2,4.16,290113.15
5,2463.5,4.5,Urban,28.3,0,3824.0,0.57,620236.48
2,1528.8,1.5,Downtown,25.5,1,9978.3,7.59,399740.42
3,2470.7,1.5,Rural,28.7,2,11505.3,7.85,348691.51
4,1960.5,2.5,Urban,33.1,2,8382.0,3.98,465435.28
3,2105.9,1.5,Rural,19.0,1,5479.9,8.08,274802.26
4,3666.9,3.0,Suburban,3.2,2,8175.3,3.21,691412.66
2,1763.2,2.0,Rural,2.8,1,9396.3,9.86,268705.02
3,2375.6,2.0,Urban,42.9,2,1726.4,4.28,479893.42
1,835.7,1.0,Suburban,33.9,2,7213.4,6.85,169356.46
2,1418.1,1.5,Rural,38.2,1,9376.6,3.56,201187.33
5,3147.7,4.0,Suburban,46.4,1,2812.8,4.78,578749.83
2,1464.2,1.5,Suburban,37.5,2,7283.7,6.63,265652.53
3,2377.7,2.5,Downtown,34.6,2,5854.2,3.8,642372.75
3,2181.7,3.0,Rural,32.8,1,13150.4,6.74,347719.72
3,2688.2,2.5,Downtown,12.9,0,7851.4,1.89,709816.69
4,2365.6,3.5,Downtown,47.9,3,6967.9,5.1,655994.79
1,890.5,1.0,Downtown,27.1,2,4414.3,3.09,252822.42
3,1873.9,2.0,Suburban,11.1,2,14404.6,9.24,386004.34
5,2494.4,3.5,Suburban,10.5,2,14456.3,8.33,558562.81
3,2257.5,2.0,Urban,40.8,2,6134.6,5.13,480405.09
5,2172.8,3.5,Suburban,12.5,3,14006.6,4.81,540856.87
2,1675.2,1.5,Urban,2.1,2,9660.4,8.42,422857.34
3,2265.7,2.0,Downtown,21.4,1,11934.7,7.06,586527.04
3,2055.7,3.5,Downtown,40.9,3,2257.9,6.99,539974.71
4,2266.6,3.0,Urban,20.7,2,1298.3,5.71,548303.37
6,3521.0,4.5,Suburban,40.2,0,8197.1,8.69,674975.91
3,2382.9,3.0,Downtown,41.4,2,2062.7,2.3,589467.2
3,2465.7,2.0,Rural,42.9,0,13483.8,8.69,311516.58
2,1259.6,1.5,Downtown,29.4,2,12482.1,5.45,375263.25
3,1725.7,2.0,Downtown,35.0,2,11007.7,6.4,482937.52
3,2218.3,2.0,Suburban,13.1,2,1439.6,9.64,397930.26
5,3024.6,3.5,Downtown,5.0,1,7416.7,4.53,853776.34
3,2302.3,2.0,Downtown,26.6,2,2093.3,6.85,562577.21
3,1951.2,2.5,Urban,0.5,3,14001.0,5.46,580014.89
2,1337.7,1.5,Downtown,23.3,1,9576.7,9.35,351969.23
2,2022.7,1.5,Downtown,5.1,2,3191.5,5.13,519761.3
2,1220.8,1.5,Rural,5.4,3,8848.5,2.93,226425.18
3,1564.6,2.5,Suburban,43.5,1,2659.5,5.09,277666.8
4,2369.2,3.0,Downtown,32.0,1,3039.5,9.21,588085.43
3,2714.0,3.0,Suburban,32.3,1,2133.4,5.26,473589.19
3,2850.7,1.5,Downtown,20.2,0,13204.2,1.89,739250.26
2,1911.2,2.0,Suburban,20.7,1,8639.5,5.65,368340.9
4,2883.9,3.0,Suburban,15.2,2,5590.7,4.18,567426.5
4,1938.1,2.5,Rural,21.7,1,1009.5,6.67,258297.63
2,992.0,1.5,Suburban,29.4,2,7608.3,2.79,222108.04
4,2489.1,3.0,Urban,9.3,1,8178.8,3.56,625892.15
3,2110.3,2.5,Downtown,13.1,0,5711.9,5.41,546281.27
2,1794.3,1.0,Suburban,24.7,2,7780.5,1.62,325846.37
3,2167.7,2.5,Downtown,19.2,2,2410.1,2.5,581579.12
3,2215.1,2.0,Suburban,41.0,2,13908.9,8.11,424818.03
2,1265.9,2.0,Suburban,41.1,1,4616.8,9.42,215688.7
5,2732.5,3.0,Rural,16.8,0,14279.0,9.71,412018.02
4,2806.5,4.0,Rural,22.5,0,7900.3,9.4,380568.44
3,2164.9,2.0,Suburban,48.8,2,12994.1,9.45,412496.84
3,2047.3,3.0,Downtown,41.4,1,9080.9,8.3,521673.39
3,1397.3,2.0,Suburban,10.8,3,12821.8,7.49,358467.04
3,2557.3,2.0,Urban,14.0,2,1141.9,2.7,580765.26
3,2311.1,2.5,Downtown,4.2,0,3610.6,4.7,594982.81
2,1268.4,2.0,Suburban,33.9,2,5954.7,4.28,254329.28
3,1764.6,1.5,Downtown,15.8,1,5145.9,7.44,481702.31
4,2544.0,3.5,Downtown,26.8,2,14254.2,5.02,761472.38
3,1920.4,2.0,Downtown,38.4,2,6525.4,3.92,478346.6
2,1925.2,1.5,Rural,41.8,0,14609.6,8.23,252262.46
4,3041.8,3.0,Downtown,16.3,0,10114.2,7.62,817996.83
2,1499.0,1.5,Downtown,11.9,1,12697.7,4.0,473066.39
3,2120.7,2.0,Rural,42.4,2,6514.0,4.48,286448.57
2,1708.3,2.0,Suburban,19.1,1,3661.1,8.99,279091.04
3,1832.2,2.5,Urban,41.1,2,1706.4,7.46,421437.17
4,2497.7,3.5,Suburban,7.5,1,10189.7,7.05,520449.13
3,2252.7,2.5,Suburban,45.6,2,14605.2,7.26,457393.74
2,1536.9,2.0,Downtown,24.2,1,2655.6,1.47,396769.31
4,2790.7,3.5,Suburban,8.5,2,11804.6,5.85,594175.44
4,3146.5,2.0,Suburban,26.8,3,6104.6,3.26,575570.89
4,2582.2,2.0,Suburban,43.5,3,14908.5,1.31,508410.47
2,1723.4,2.0,Suburban,19.5,1,13180.5,7.45,375027.46
3,1674.8,1.5,Urban,8.9,2,4230.7,3.39,422516.47
6,3399.4,4.0,Suburban,28.8,2,11720.6,3.45,694170.72
4,2045.2,3.0,Suburban,41.7,2,11279.2,6.58,431627.95
1,999.8,1.0,Downtown,6.1,1,11687.8,6.83,294145.08
2,1476.1,1.5,Rural,2.1,2,2159.5,5.0,220108.68
3,2144.8,2.0,Suburban,2.8,2,12331.8,5.79,457463.43
5,3433.4,3.5,Suburban,11.5,0,4660.1,8.56,627194.06
3,1760.9,2.5,Suburban,0.4,2,9265.9,1.52,393426.85
3,1844.3,2.0,Rural,21.4,1,2615.6,1.12,234027.33
2,1260.0,1.5,Rural,34.9,1,8813.7,6.73,160129.13
3,1465.1,2.5,Downtown,35.5,1,13689.9,6.24,467902.43
4,2613.1,3.5,Urban,31.8,0,3480.5,2.27,556647.13
3,1806.8,3.0,Downtown,14.8,0,12970.6,5.46,546217.51
4,3458.4,3.0,Downtown,36.8,2,7096.2,7.58,874934.24
5,3325.4,4.5,Urban,28.8,3,5512.6,7.45,782582.7
2,1765.8,2.0,Downtown,43.1,2,1799.4,6.16,424464.88
3,1785.8,2.0,Downtown,23.9,1,8399.1,1.74,498984.53
3,2601.2,1.5,Suburban,9.0,1,3799.1,3.39,486398.48
4,3278.6,3.0,Urban,31.7,2,14161.4,4.35,773674.16
3,1707.1,3.0,Downtown,7.5,2,4334.0,7.99,487786.88
3,1945.2,2.0,Downtown,48.2,1,9215.0,5.67,505190.73
4,3155.3,2.0,Downtown,35.2,2,8819.5,7.47,789785.61
3,2050.3,2.0,Downtown,37.8,2,5715.5,9.27,482873.67
5,3013.0,3.0,Downtown,34.0,3,12928.9,6.43,855337.33
3,2050.8,2.0,Rural,4.9,2,3565.4,2.75,304249.86
2,1240.0,1.5,Downtown,23.3,2,12438.8,1.83,417101.24
3,2220.1,2.5,Suburban,32.6,0,3904.7,0.51,416814.84
4,2955.4,3.5,Rural,11.5,1,1547.4,2.17,411031.73
3,1770.6,2.5,Suburban,34.0,2,14213.9,3.06,398113.34
4,2800.5,2.5,Downtown,41.0,2,9922.2,3.06,731434.12
5,3143.0,3.5,Suburban,13.7,2,9826.7,6.84,611020.29
3,1811.0,2.5,Rural,10.0,2,4710.6,1.93,278593.78
6,4716.2,4.5,Suburban,44.2,1,2948.4,4.64,821284.55
2,1804.8,1.5,Suburban,0.3,2,10884.8,0.55,392405.0
2,1737.5,1.0,Downtown,12.8,2,8262.3,2.98,507147.65
2,1148.9,1.0,Suburban,20.3,2,5450.7,0.89,236435.15
4,2356.7,3.0,Downtown,33.6,3,5435.0,7.24,651741.34
3,2425.3,1.0,Urban,49.9,1,13449.6,3.87,494038.13
2,1497.6,2.0,Suburban,18.5,2,13455.4,5.06,322939.93
3,1577.0,1.5,Suburban,47.4,1,4844.8,7.73,268730.2
3,2010.0,2.5,Urban,18.3,1,12118.1,8.7,487691.06
2,1213.2,1.5,Downtown,34.8,0,4173.5,5.41,269878.42
4,3691.0,3.0,Urban,8.3,2,12311.4,6.67,875129.55
4,3649.9,3.5,Suburban,23.0,3,2768.0,7.49,673563.88
3,2312.0,2.5,Suburban,43.6,0,11614.2,3.21,456336.5
5,4002.8,3.5,Downtown,16.0,2,8779.6,7.22,1075726.58
3,2069.0,2.0,Suburban,5.3,1,2646.7,6.71,373173.27
6,4219.1,4.5,Suburban,26.1,2,9620.5,4.71,824040.34
3,2749.6,2.5,Suburban,22.0,2,3693.7,3.74,488187.27
3,2454.7,2.5,Suburban,11.5,2,3717.7,9.75,488274.92
2,1314.9,1.0,Downtown,45.3,1,7262.9,9.87,273366.09
4,2005.7,3.0,Suburban,30.1,3,14500.0,7.1,463739.64
3,2007.6,1.5,Suburban,17.4,2,13491.2,4.15,431249.85
2,1601.6,1.5,Suburban,49.8,3,12570.7,7.64,290434.0
1,1172.4,1.0,Suburban,6.9,2,12915.9,6.95,262683.6
3,2054.5,3.0,Suburban,42.4,2,7962.0,5.68,399064.88
3,2007.6,2.0,Suburban,11.5,1,6246.1,1.75,412431.72
4,2018.5,3.0,Suburban,12.0,3,13375.8,9.49,462924.36
4,2480.6,3.0,Suburban,24.9,2,2132.2,2.71,468331.32
2,1573.1,1.0,Suburban,33.1,1,14945.3,4.24,313715.66
4,2597.0,3.5,Rural,34.5,2,8741.7,3.75,396728.52
2,1806.3,1.5,Urban,1.1,2,8566.5,1.96,440845.45
4,3265.9,3.0,Downtown,14.3,2,5087.3,0.73,846755.77
4,2697.1,3.0,Suburban,33.0,0,3385.0,9.33,479494.23
3,2024.2,2.0,Suburban,44.5,0,10524.1,7.52,361252.34
4,2195.5,2.5,Suburban,33.5,2,6064.0,0.7,442096.91
3,1974.4,2.0,Rural,13.3,1,5234.2,7.03,301361.5
3,1729.5,2.0,Suburban,25.4,0,3272.8,1.73,331503.92
4,2890.3,3.0,Urban,32.4,1,8491.8,7.38,663399.66
3,2129.2,2.5,Rural,6.8,2,9236.3,5.3,346699.65
3,2040.2,2.0,Downtown,27.2,2,7202.9,9.79,533981.91
3,2359.9,1.5,Downtown,23.6,2,1168.5,4.61,560649.0
4,2630.8,3.0,Suburban,16.8,2,7883.4,7.61,545191.16
3,1257.7,2.0,Downtown,31.2,1,4807.5,0.89,356008.17
2,1573.1,1.5,Downtown,31.8,0,2941.0,9.39,333852.2
4,2214.4,3.0,Rural,48.6,1,9086.0,5.84,323569.84
4,2050.2,2.0,Rural,21.4,3,10397.3,3.49,301685.99
2,1365.1,2.0,Urban,26.6,2,8262.8,1.71,335121.56
2,1718.1,1.0,Urban,7.9,2,9600.1,6.59,399505.87
2,1573.8,1.5,Downtown,27.4,2,9491.8,7.59,411578.13
3,1761.7,2.0,Suburban,1.8,0,2739.4,1.31,379611.28
3,2429.6,2.0,Downtown,7.5,2,4021.3,2.06,657489.0
4,1804.9,3.5,Suburban,8.6,1,1132.8,4.16,375023.8
3,2209.5,2.5,Suburban,31.6,1,14746.6,8.59,432297.94
3,2092.1,2.5,Suburban,28.4,1,3957.2,9.84,385278.73
3,2253.6,2.5,Downtown,39.9,1,12405.9,7.58,563744.45
4,3496.7,3.0,Downtown,23.2,1,11937.3,0.55,943211.75
3,1431.1,2.5,Suburban,23.7,0,10870.2,9.08,288301.05
5,3011.1,4.0,Suburban,8.1,2,7296.5,0.75,640375.28
3,2112.1,2.5,Suburban,37.1,1,9174.1,9.02,370770.96
2,1659.9,1.5,Downtown,0.2,2,3608.7,4.4,461413.97
3,2185.2,3.0,Rural,21.2,1,2485.4,7.55,301166.89
3,1862.2,2.5,Downtown,9.4,1,5924.7,1.33,525163.33
3,2079.3,2.0,Urban,38.6,2,12558.2,2.07,523681.71
2,1378.8,1.5,Downtown,33.7,2,8896.4,4.78,381330.12
2,1710.4,1.5,Suburban,35.3,1,11694.1,0.87,342131.71
4,2707.1,3.0,Urban,7.4,2,13464.5,4.2,685931.73
2,1619.8,2.0,Urban,33.4,0,8847.5,7.64,347879.86
4,2701.5,3.5,Suburban,34.5,1,6141.9,6.72,488022.75
3,2102.0,1.5,Downtown,0.1,2,12979.5,3.84,621755.31
3,1727.5,3.0,Urban,15.9,1,4214.8,0.58,423448.58
3,2170.2,2.0,Suburban,4.4,1,1346.7,3.06,415327.31
3,1763.8,2.0,Urban,34.1,2,1709.4,7.87,399595.27
3,2695.8,2.0,Urban,10.6,2,9151.3,3.74,642826.16
2,1151.3,2.0,Suburban,13.2,2,13492.7,4.09,313505.21
1,500.0,1.0,Rural,3.9,0,8899.9,1.2,113447.46
3,2749.0,2.0,Suburban,24.2,2,6728.7,6.22,506740.18
3,2548.9,2.0,Urban,1.7,0,9079.0,6.41,568640.86
5,3296.0,3.0,Urban,42.3,2,10395.4,4.59,753937.71
4,2152.6,2.5,Suburban,1.3,2,11619.0,7.73,465122.47
4,2126.7,2.5,Suburban,3.1,1,5862.2,8.83,442798.58
4,2979.9,3.0,Urban,32.0,3,6416.5,7.63,654072.34
3,2701.2,2.5,Suburban,45.8,2,1331.0,5.67,454190.41
3,1976.5,2.5,Suburban,44.6,1,10094.8,9.39,361004.81
5,2611.6,4.5,Urban,4.2,1,11874.2,4.13,732333.21
3,1164.8,2.5,Downtown,14.4,0,8152.7,6.72,348717.9
3,1935.6,2.0,Downtown,26.1,2,6271.7,5.96,536828.64
2,1567.2,1.5,Downtown,1.3,1,5664.1,8.49,437583.14
3,2738.8,2.0,Suburban,26.4,1,10030.5,5.25,497968.72
3,2156.7,1.5,Rural,22.4,0,5630.5,5.76,290058.31
4,3097.8,2.5,Suburban,29.4,0,9387.1,4.81,559627.76
3,1718.4,2.0,Rural,46.0,1,13977.5,1.83,258562.16
3,2031.5,2.0,Downtown,13.7,2,5628.6,8.92,558157.09
5,3716.4,4.0,Urban,32.0,2,1956.3,8.69,849130.79
2,1421.6,1.5,Suburban,21.5,2,13236.2,7.17,315031.5
3,1703.4,1.5,Downtown,21.8,2,4829.7,3.8,466726.48
1,957.4,1.0,Urban,32.4,1,14839.9,3.87,260430.68
4,2274.8,3.0,Downtown,47.6,3,12761.7,0.84,645726.06
5,2949.0,4.0,Downtown,43.2,1,6976.5,1.24,794915.93
3,2284.0,2.5,Suburban,32.0,0,9794.7,5.38,423377.83
4,2734.1,3.0,Urban,23.1,1,4885.6,0.97,614672.45
3,2264.7,2.5,Suburban,21.2,2,2178.4,1.44,423577.01
5,3888.3,3.5,Suburban,39.4,0,8361.3,2.89,679848.27
4,2179.6,2.5,Downtown,10.9,2,6945.4,4.05,618390.73
4,3469.2,3.0,Downtown,29.4,1,14578.9,5.15,920203.58
1,764.3,1.0,Downtown,25.2,2,9364.3,3.58,219218.02
5,3149.5,4.0,Rural,32.5,2,11460.1,9.44,473907.61
4,2632.2,4.0,Rural,9.4,3,2893.4,9.53,404876.92
3,2105.1,2.5,Rural,34.8,2,11131.3,1.03,325968.35
4,2923.8,3.0,Urban,31.3,2,1788.6,9.86,616520.09
3,2096.0,2.0,Rural,9.0,3,9582.8,2.14,353018.14
4,2471.8,2.5,Urban,22.5,2,12739.7,3.65,620692.18
2,1077.9,1.5,Rural,33.9,2,7762.9,8.45,158822.24
4,3577.1,3.5,Urban,45.1,1,4011.1,7.03,747272.46
3,1918.4,2.0,Suburban,6.1,0,7211.8,1.05,385122.07
2,1901.1,1.5,Suburban,0.4,1,12775.7,7.86,406382.57
2,1296.2,2.0,Suburban,8.3,2,11001.5,6.8,315129.99
1,1033.6,1.5,Suburban,49.5,1,9476.2,9.53,158455.02
3,2274.4,2.5,Suburban,38.4,1,10713.7,9.15,419896.05
3,2782.3,2.5,Urban,30.7,0,12678.7,9.76,596082.97
3,1289.5,1.5,Urban,6.7,1,3126.1,4.82,355394.68
3,2362.9,2.0,Downtown,20.8,1,12786.9,7.21,635139.11
3,1907.0,2.0,Suburban,35.8,2,12292.2,9.64,387669.41
4,2979.1,2.5,Rural,44.8,1,7684.8,0.52,445528.85
1,1062.5,1.0,Suburban,19.1,1,6640.3,7.99,193106.89
5,2809.4,4.5,Suburban,50.0,1,14055.8,1.01,554032.99
4,2515.7,3.5,Rural,7.0,0,12471.9,9.99,410755.66
3,1832.3,2.5,Downtown,19.3,1,14841.3,0.63,565722.82
3,1929.9,2.5,Suburban,43.8,0,9984.6,5.77,342824.83
4,2270.4,2.5,Suburban,32.5,1,1441.4,5.45,434753.72
2,1367.8,2.0,Rural,40.5,1,3154.4,3.39,158586.48
2,1631.9,1.0,Urban,45.4,0,12484.4,7.46,347639.1
2,1195.1,2.0,Suburban,25.4,2,9945.9,2.94,263872.6
4,2654.7,3.0,Rural,11.7,1,3772.7,3.26,359448.43
1,941.0,1.0,Rural,34.7,2,1167.1,2.21,128291.11
3,1628.4,2.0,Urban,28.2,2,4680.4,7.28,339555.01
6,3317.9,4.0,Rural,38.6,1,2925.9,2.12,470557.99
4,2893.6,2.5,Urban,25.6,1,13267.2,9.03,637048.51
3,2651.0,1.5,Suburban,40.6,2,13359.0,3.23,485669.1
2,1092.9,2.0,Suburban,45.1,1,12792.7,5.43,233343.7
4,2466.0,3.5,Suburban,37.5,0,2324.5,5.01,451366.9
3,1584.8,1.5,Downtown,37.2,2,2890.6,7.17,391835.75
2,1110.0,2.0,Urban,29.4,2,2897.3,2.72,281061.85
2,1440.1,1.5,Downtown,23.6,2,4617.8,8.47,368507.27
5,2612.3,4.0,Suburban,48.6,2,2020.4,7.51,484609.62
3,2168.3,1.5,Downtown,32.3,2,14741.9,3.75,606215.83
4,2021.3,3.5,Suburban,42.0,1,12972.2,1.64,421739.78
4,2978.8,3.0,Suburban,25.3,2,1968.6,5.3,560961.36
3,2583.7,2.5,Urban,27.7,3,3011.4,9.81,559894.79
3,1673.9,2.5,Rural,33.1,2,4672.4,0.73,263896.42
3,1752.4,3.0,Rural,36.4,3,11850.2,8.53,277836.44
3,2221.7,2.0,Suburban,22.4,0,10997.4,7.15,423071.95
3,2447.9,2.0,Rural,17.8,0,9827.0,2.24,357794.17
4,2154.6,3.0,Suburban,12.0,1,13770.7,5.03,443831.63
3,1932.9,2.5,Suburban,21.2,2,1508.0,6.46,343136.16
4,2925.2,3.0,Suburban,10.6,1,3258.0,7.12,539595.08
3,2109.2,2.5,Rural,20.8,2,3657.4,9.25,293843.44
3,1305.9,2.5,Downtown,43.7,1,1835.1,8.79,335936.36
3,2143.5,1.5,Suburban,48.9,2,9656.0,3.62,393004.6
3,2528.1,3.0,Urban,28.9,2,3935.8,1.64,582489.6
4,2624.1,3.5,Suburban,7.3,1,7756.9,1.49,569406.83
2,1302.5,1.5,Downtown,21.4,1,10596.1,9.7,378155.9
3,1958.9,2.5,Suburban,30.1,1,9335.8,9.58,356766.37
2,1893.2,1.5,Urban,18.5,1,5061.9,8.29,416582.5
3,2637.9,2.5,Downtown,10.3,2,6798.5,9.81,701890.27
